Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number
Q8PDX2,OLEA_XANCP,reviewed,Acyl-CoA:acyl-CoA alkyltransferase (EC 2.3.3.20),oleA XCC0212,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),338,2.3.3.20
B6KP12,B6KP12_TOXGV,unreviewed,Mitogen-activated protein kinase (EC 2.7.11.24),BN1205_040370 TGVEG_207820,Toxoplasma gondii (strain ATCC 50861 / VEG),548,2.7.11.24
Q86Y97,KMT5C_HUMAN,reviewed,Histone-lysine N-methyltransferase KMT5C (Lysine N-methyltransferase 5C) (Lysine-specific methyltransferase 5C) (Suppressor of variegation 4-20 homolog 2) (Su(var)4-20 homolog 2) (Suv4-20h2) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361),KMT5C SUV420H2 PP7130,Homo sapiens (Human),462,2.1.1.362; 2.1.1.361
B2HL85,B2HL85_MYCMM,unreviewed,Cysteine synthase (EC 2.5.1.47),cysK1 MMAR_3645,Mycobacterium marinum (strain ATCC BAA-535 / M),310,2.5.1.47
Q7WTR6,Q7WTR6_CELUD,unreviewed,Cellobiose phosphorylase (EC 2.4.1.20),,Cellulomonas uda,822,2.4.1.20
B2HP50,METK_MYCMM,reviewed,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK MMAR_2205,Mycobacterium marinum (strain ATCC BAA-535 / M),403,2.5.1.6
A0A0H2WZY4,RBSK_STAAC,reviewed,Ribokinase (RK) (EC 2.7.1.15),rbsK SACOL0253,Staphylococcus aureus (strain COL),304,2.7.1.15
Q9HKI3,TAL_THEAC,reviewed,Probable transaldolase (EC 2.2.1.2),tal Ta0616,Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165),223,2.2.1.2
P9WPX3,AK_MYCTU,reviewed,Aspartokinase (EC 2.7.2.4) (Aspartate kinase) (ASK),ask Rv3709c MTV025.057c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),421,2.7.2.4
P49040,SUS1_ARATH,reviewed,Sucrose synthase 1 (AtSUS1) (EC 2.4.1.13) (Sucrose-UDP glucosyltransferase 1),SUS1 At5g20830 T1M15.230,Arabidopsis thaliana (Mouse-ear cress),808,2.4.1.13
Q9HW01,MURG_PSEAE,reviewed,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase),murG PA4412,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),357,2.4.1.227
P14350,POL_FOAMV,reviewed,Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)],pol,Human spumaretrovirus (SFVcpz(hu)) (Human foamy virus),1143,2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-; 2.7.7.49; 2.7.7.7; 3.4.23.-; 3.1.26.4; 2.7.7.-; 3.1.-.-
Q9H3S4,TPK1_HUMAN,reviewed,Thiamin pyrophosphokinase 1 (hTPK1) (EC 2.7.6.2) (Placental protein 20) (PP20) (Thiamine pyrophosphokinase 1),TPK1,Homo sapiens (Human),243,2.7.6.2
Q7DDR9,NMFIC_NEIMB,reviewed,Protein adenylyltransferase NmFic (EC 2.7.7.n1) (AMPylator NmFic),NMB0255,Neisseria meningitidis serogroup B (strain MC58),191,2.7.7.n1
Q0ASS9,Q0ASS9_MARMM,unreviewed,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase),Mmar10_0365,Maricaulis maris (strain MCS10),441,2.7.2.8
A0QI26,METK_MYCA1,reviewed,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK MAV_3382,Mycobacterium avium (strain 104),403,2.5.1.6
O15047,SET1A_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.354) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1),SETD1A KIAA0339 KMT2F SET1 SET1A,Homo sapiens (Human),1707,2.1.1.354
P53667,LIMK1_HUMAN,reviewed,LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1),LIMK1 LIMK,Homo sapiens (Human),647,2.7.11.1
P0CL21,OTC_COCIM,reviewed,"Ornithine carbamoyltransferase, mitochondrial (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)",CIMG_04084,Coccidioides immitis (strain RS) (Valley fever fungus),349,2.1.3.3
Q81K13,MURA1_BACAN,reviewed,UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1 (EC 2.5.1.7) (Enoylpyruvate transferase 1) (UDP-N-acetylglucosamine enolpyruvyl transferase 1) (EPT 1),murA1 BA_5529 GBAA_5529 BAS5137,Bacillus anthracis,434,2.5.1.7
P60473,UPPS_ECOL6,reviewed,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)",uppS c0211,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),253,2.5.1.31
E6Z0R3,VBHT_BARSR,reviewed,Protein adenylyltransferase VbhT (EC 2.7.7.n1) (AMPylator VbhT) (Toxin VbhT),vbhT B11C_100026,Bartonella schoenbuchensis (strain DSM 13525 / NCTC 13165 / R1),478,2.7.7.n1
E6Z0R4,VBHA_BARSR,reviewed,Antitoxin VbhA,B11C_100027,Bartonella schoenbuchensis (strain DSM 13525 / NCTC 13165 / R1),62,
P00516,KGP1_BOVIN,reviewed,cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI),PRKG1 PRKG1B PRKGR1A PRKGR1B,Bos taurus (Bovine),671,2.7.11.12
Q9CYK2,QPCT_MOUSE,reviewed,Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (Glutaminyl-tRNA cyclotransferase),Qpct,Mus musculus (Mouse),362,2.3.2.5
Q8NG31,KNL1_HUMAN,reviewed,Kinetochore scaffold 1 (ALL1-fused gene from chromosome 15q14 protein) (AF15q14) (Bub-linking kinetochore protein) (Blinkin) (Cancer susceptibility candidate gene 5 protein) (Cancer/testis antigen 29) (CT29) (Kinetochore-null protein 1) (Protein CASC5) (Protein D40/AF15q14),KNL1 CASC5 KIAA1570,Homo sapiens (Human),2342,
P63411,ACKA_SALTY,reviewed,Acetate kinase (EC 2.7.2.1) (Acetokinase),ackA STM2337,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),400,2.7.2.1
D6MSV6,D6MSV6_9ACTN,unreviewed,SsfX3,ssfX3,Streptomyces sp. SF2575,365,
Q45614,WALK_BACSU,reviewed,Sensor histidine kinase WalK (EC 2.7.13.3),walK yycG BSU40400,Bacillus subtilis (strain 168),611,2.7.13.3
C4M272,C4M272_ENTHI,unreviewed,S-adenosylmethionine synthase (EC 2.5.1.6),EHI_174250,Entamoeba histolytica,397,2.5.1.6
O00411,RPOM_HUMAN,reviewed,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",POLRMT,Homo sapiens (Human),1230,2.7.7.6
P16154,TCDA_CLODI,reviewed,Toxin A (EC 3.4.22.-) [Cleaved into: Glucosyltransferase TcdA (EC 2.4.1.-)],tcdA toxA,Clostridioides difficile (Peptoclostridium difficile),2710,3.4.22.-; 2.4.1.-
Q189K5,Q189K5_CLOD6,unreviewed,Toxin A (EC 2.4.1.-),tcdA CD630_06630,Clostridioides difficile (strain 630) (Peptoclostridium difficile),2710,2.4.1.-
Q83WF2,MYCE_MICGR,reviewed,Mycinamicin VI 2''-O-methyltransferase (EC 2.1.1.238) (Mycinamicin biosynthesis protein E),mycE,Micromonospora griseorubida,399,2.1.1.238
A0A0H2ZTN6,A0A0H2ZTN6_MYCA1,unreviewed,Acetyl-CoA acetyltransferase,MAV_0980,Mycobacterium avium (strain 104),403,
Q99549,MPP8_HUMAN,reviewed,M-phase phosphoprotein 8 (Two hybrid-associated protein 3 with RanBPM) (Twa3),MPHOSPH8 MPP8,Homo sapiens (Human),860,
O88508,DNM3A_MOUSE,reviewed,DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (DNA methyltransferase MmuIIIA) (DNA MTase MmuIIIA) (M.MmuIIIA),Dnmt3a,Mus musculus (Mouse),908,2.1.1.37
Q3JP68,Q3JP68_BURP1,unreviewed,2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase),kdsA BURPS1710b_3264,Burkholderia pseudomallei (strain 1710b),281,2.5.1.55
Q6GG09,KPYK_STAAR,reviewed,Pyruvate kinase (PK) (EC 2.7.1.40),pyk SAR1776,Staphylococcus aureus (strain MRSA252),585,2.7.1.40
B1YT10,B1YT10_BURA4,unreviewed,2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase),kdsA BamMC406_2018,Burkholderia ambifaria (strain MC40-6),284,2.5.1.55
Q9C5U0,AHK4_ARATH,reviewed,Histidine kinase 4 (EC 2.7.13.3) (Arabidopsis histidine kinase 4) (AtHK4) (Cytokinin receptor CYTOKININ RESPONSE 1) (AtCRE1) (Cytokinin receptor CRE1) (Phosphoprotein phosphatase AHK4) (EC 3.1.3.16) (Protein AUTHENTIC HIS-KINASE 4) (Protein ROOT AS IN WOL 1) (Protein WOODEN LEG),AHK4 CRE1 RAW1 WOL At2g01830 T23K3.2,Arabidopsis thaliana (Mouse-ear cress),1080,2.7.13.3; 3.1.3.16
Q8YC53,LOVHK_BRUME,reviewed,Blue-light-activated histidine kinase (EC 2.7.13.3) (BM-LOV-histidine kinase) (BM-LOV-HK),BMEII0679,Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094),489,2.7.13.3
O43314,VIP2_HUMAN,reviewed,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2),PPIP5K2 HISPPD1 KIAA0433 VIP2,Homo sapiens (Human),1243,2.7.4.21; 2.7.4.24
Q9SU91,LPXA_ARATH,reviewed,"Probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129) (Protein LIPID X A) (AtLpxA)",LPXA At4g29540 T16L4.50,Arabidopsis thaliana (Mouse-ear cress),336,2.3.1.129
Q92RN7,DGOK_RHIME,reviewed,Probable 2-dehydro-3-deoxygalactonokinase DgoK1 (EC 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase),dgoK1 R00825 SMc00881,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti),306,2.7.1.58
Q46E78,PYLB_METBF,reviewed,"3-methylornithine synthase (EC 5.4.99.58) ((2R,3R)-3-methylornithine synthase) ((3R)-3-methyl-D-ornithine synthase) (Pyrrolysine biosynthesis protein PylB)",pylB Mbar_A0838,Methanosarcina barkeri (strain Fusaro / DSM 804),350,5.4.99.58
Q15744,CEBPE_HUMAN,reviewed,CCAAT/enhancer-binding protein epsilon (C/EBP epsilon),CEBPE,Homo sapiens (Human),281,
P31129,DGCZ_ECOLI,reviewed,Diguanylate cyclase DgcZ (DGC) (EC 2.7.7.65) (Zinc-sensory diguanylate cyclase),dgcZ ydeG ydeH b1535 JW1528,Escherichia coli (strain K12),296,2.7.7.65
O75334,LIPA2_HUMAN,reviewed,Liprin-alpha-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-2) (PTPRF-interacting protein alpha-2),PPFIA2,Homo sapiens (Human),1257,
P52894,ALA2_HORVU,reviewed,Alanine aminotransferase 2 (ALAAT-2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2),,Hordeum vulgare (Barley),482,2.6.1.2
Q2YIN4,Q2YIN4_BRUA2,unreviewed,GCN5-related N-acetyltransferase,BAB2_0090,Brucella abortus (strain 2308),225,
P9WGV1,METK_MYCTU,reviewed,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK Rv1392 MTCY21B4.09,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),403,2.5.1.6
Q94521,DNAT_DROME,reviewed,Dopamine N-acetyltransferase (EC 2.3.1.87) (Arylalkylamine N-acetyltransferase),AANAT1 Dat NAT1 CG3318,Drosophila melanogaster (Fruit fly),275,2.3.1.87
Q3JRA3,Q3JRA3_BURP1,unreviewed,Histidine kinase (EC 2.7.13.3),risS BURPS1710b_2508,Burkholderia pseudomallei (strain 1710b),445,2.7.13.3
Q5NFX0,Q5NFX0_FRATT,unreviewed,Transaldolase (EC 2.2.1.2),talA FTT_1093c,Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4),321,2.2.1.2
Q4FP21,DMDA_PELUB,reviewed,Dimethylsulfonioproprionate demethylase DmdA (EC 2.1.1.269),dmdA SAR11_0246,Pelagibacter ubique (strain HTCC1062),369,2.1.1.269
P52597,HNRPF_HUMAN,reviewed,"Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]",HNRNPF HNRPF,Homo sapiens (Human),415,
Q9GZZ1,NAA50_HUMAN,reviewed,N-alpha-acetyltransferase 50 (hNaa50p) (EC 2.3.1.258) (N-acetyltransferase 13) (N-acetyltransferase 5) (hNAT5) (N-acetyltransferase san homolog) (hSAN) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit),NAA50 MAK3 NAT13 NAT5,Homo sapiens (Human),169,2.3.1.258; 2.3.1.-
Q3JR17,Q3JR17_BURP1,unreviewed,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)",dapD BURPS1710b_2594,Burkholderia pseudomallei (strain 1710b),312,2.3.1.117
P60390,RSMH_ECOLI,reviewed,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH),rsmH mraW yabC b0082 JW0080,Escherichia coli (strain K12),313,2.1.1.199
C4LXG4,C4LXG4_ENTHI,unreviewed,"Purine nucleoside phosphorylase, putative",EHI_130960,Entamoeba histolytica,238,
Q8U248,TRM14_PYRFU,reviewed,tRNA (guanine(6)-N2)-methyltransferase (EC 2.1.1.256) (tRNA:m2G6 methyltransferase),trm14 PF1002,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),365,2.1.1.256
Q7Z0H0,Q7Z0H0_PLAFA,unreviewed,Adenylate kinase 2 (EC 2.7.4.3),,Plasmodium falciparum,242,2.7.4.3
Q72IH5,TRMN_THET2,reviewed,tRNA (guanine(6)-N2)-methyltransferase (EC 2.1.1.256) (tRNA:m2G6 methyltransferase),trmN TT_C1157,Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039),335,2.1.1.256
B4EDA2,KDSA_BURCJ,reviewed,2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase),kdsA BceJ2315_21430 BCAL2180,Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),284,2.5.1.55
Q8XVV6,Q8XVV6_RALSO,unreviewed,Probable glutathione s-transferase protein (EC 2.5.1.18),gstK RSc2721,Ralstonia solanacearum (strain GMI1000) (Pseudomonas solanacearum),202,2.5.1.18
Q83EV9,COAA_COXBU,reviewed,Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase),coaA CBU_0199,Coxiella burnetii (strain RSA 493 / Nine Mile phase I),318,2.7.1.33
Q83AJ3,AROK_COXBU,reviewed,Shikimate kinase (SK) (EC 2.7.1.71),aroK CBU_1892,Coxiella burnetii (strain RSA 493 / Nine Mile phase I),179,2.7.1.71
Q60AN0,Q60AN0_METCA,unreviewed,Geranyltranstransferase (EC 2.5.1.10),ispA MCA0818,Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath),300,2.5.1.10
Q9ALM8,Q9ALM8_SACSN,unreviewed,Probable NDP-rhamnosyltransferase,spnG,Saccharopolyspora spinosa,390,
A0A0H3JHT3,A0A0H3JHT3_ECO57,unreviewed,Carbamoyltransferase HypF (EC 6.2.-.-),hypF ECs_3568,Escherichia coli O157:H7,750,6.2.-.-
Q8G9Q2,Q8G9Q2_LEUME,unreviewed,Dextransucrase (EC 2.4.1.5) (Sucrose 6-glucosyltransferase) (Fragment),dsrE,Leuconostoc mesenteroides,2835,2.4.1.5
O53223,LDT2_MYCTO,reviewed,"L,D-transpeptidase 2 (LDT 2) (EC 2.3.2.-) (Ldt(Mt2))",ldtB MT2594 V735_02606,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),408,2.3.2.-
Q01928,Q01928_PHYSO,unreviewed,Glycoprotein elicitor (Transglutaminase elicitor) (EC 2.3.2.13),gpe1,Phytophthora sojae (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines),529,2.3.2.13
P78314,3BP2_HUMAN,reviewed,SH3 domain-binding protein 2 (3BP-2),SH3BP2 3BP2 RES4-23,Homo sapiens (Human),561,
Q07820,MCL1_HUMAN,reviewed,Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT),MCL1 BCL2L3,Homo sapiens (Human),350,
Q837U7,PTC_ENTFA,reviewed,Putrescine carbamoyltransferase (PTC) (PTCase) (EC 2.1.3.6) (Agmatine catabolism protein B) (Putrescine transcarbamoylase) (Putrescine transcarbamylase),ptcA agcB argF-2 EF_0732,Enterococcus faecalis (strain ATCC 700802 / V583),339,2.1.3.6
A0A2S9PLG4,A0A2S9PLG4_YERPE,unreviewed,Dihydropteroate synthase (EC 2.5.1.15),dhpS YPO3501,Yersinia pestis,277,2.5.1.15
I6X8D2,PKS13_MYCTU,reviewed,Polyketide synthase Pks13 (EC 2.3.1.-),pks13 Rv3800c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),1733,2.3.1.-
O53579,O53579_MYCTO,unreviewed,Polyketide synthase,MT3907,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),1733,
Q3JVJ9,Q3JVJ9_BURP1,unreviewed,Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42),ilvE BURPS1710b_0992,Burkholderia pseudomallei (strain 1710b),307,2.6.1.42
P16456,SELD_ECOLI,reviewed,"Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)",selD fdhB b1764 JW1753,Escherichia coli (strain K12),347,2.7.9.3
Q8TCS8,PNPT1_HUMAN,reviewed,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial (EC 2.7.7.8) (3'-5' RNA exonuclease OLD35) (PNPase old-35) (Polynucleotide phosphorylase 1) (PNPase 1) (Polynucleotide phosphorylase-like protein)",PNPT1 PNPASE,Homo sapiens (Human),783,2.7.7.8
Q02297,NRG1_HUMAN,reviewed,"Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]",NRG1 GGF HGL HRGA NDF SMDF,Homo sapiens (Human),640,
O00255,MEN1_HUMAN,reviewed,Menin,MEN1 SCG2,Homo sapiens (Human),615,
P46580,ANM5_CAEEL,reviewed,Protein arginine N-methyltransferase 5 (EC 2.1.1.320),prmt-5 tag-251 C34E10.5,Caenorhabditis elegans,734,2.1.1.320
Q60CN1,Q60CN1_METCA,unreviewed,Glutathione S-transferase (EC 2.5.1.18),gst MCA0074,Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath),203,2.5.1.18
Q5EEL8,DEOD_BACCE,reviewed,Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1),deoD,Bacillus cereus,235,2.4.2.1
A9X6P7,A9X6P7_ACEAC,unreviewed,Formyl-CoA:oxalate CoA-transferase (FCOCT) (EC 2.8.3.16) (Formyl-coenzyme A transferase) (Formyl-CoA transferase),frc,Acetobacter aceti,436,2.8.3.16
P20589,MTH3_HAEAE,reviewed,Modification methylase HaeIII (M.HaeIII) (EC 2.1.1.37) (Cytosine-specific methyltransferase HaeIII),haeIIIM,Haemophilus aegyptius,330,2.1.1.37
Q39193,SRK2I_ARATH,reviewed,Serine/threonine-protein kinase SRK2I (EC 2.7.11.1) (OST1-kinase-like 2) (Protein ATHPROKIN B) (SNF1-related kinase 2.3) (SnRK2.3),SRK2I 41K OSKL2 SNRK2.3 At5g66880 MUD21.14,Arabidopsis thaliana (Mouse-ear cress),361,2.7.11.1
Q940H6,SRK2E_ARATH,reviewed,Serine/threonine-protein kinase SRK2E (EC 2.7.11.1) (Protein OPEN STOMATA 1) (SNF1-related kinase 2.6) (SnRK2.6) (Serine/threonine-protein kinase OST1),SRK2E OST1 SNRK2.6 At4g33950 F17I5.140,Arabidopsis thaliana (Mouse-ear cress),362,2.7.11.1
Q1J0W0,Q1J0W0_DEIGD,unreviewed,Amylosucrase,Dgeo_0572,Deinococcus geothermalis (strain DSM 11300 / AG-3a),650,
C0VN42,C0VN42_ACIS2,unreviewed,"Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Penicillin-binding protein 3) (PBP-3)",ftsI HMPREF0023_2561,Acinetobacter sp. (strain ATCC 27244 / 9458),609,3.4.16.4
Q7MPU6,Q7MPU6_VIBVY,unreviewed,Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72),VV0266,Vibrio vulnificus (strain YJ016),530,2.1.1.72
Q9PP99,ISPT_CAMJE,reviewed,Isoprenyl transferase (EC 2.5.1.-),uppS Cj0824,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),222,2.5.1.-
Q4QHJ8,Q4QHJ8_LEIMA,unreviewed,Putative mitogen-activated protein kinase,LMJF_10_0200,Leishmania major,407,
Q43295,APK1_ARATH,reviewed,"Adenylyl-sulfate kinase 1, chloroplastic (EC 2.7.1.25) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 1) (Adenosine-5'-phosphosulfate kinase 1) (APS kinase 1)",APK1 AKN1 At2g14750 F26C24.11 T6B13.1,Arabidopsis thaliana (Mouse-ear cress),276,2.7.1.25
G4V9S0,G4V9S0_SCHMA,unreviewed,Adenylate kinase (Adenylate kinase; Putative adenylate kinase),,Schistosoma mansoni (Blood fluke),197,
Q8DCF5,OTC_VIBVU,reviewed,Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3),argF VV1_1466,Vibrio vulnificus (strain CMCP6),334,2.1.3.3
Q2SZA7,Q2SZA7_BURTA,unreviewed,Transketolase (EC 2.2.1.1),tkt BTH_I1195,Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264),690,2.2.1.1
Q56311,CHEW_THEMA,reviewed,Chemotaxis protein CheW,cheW TM_0701,Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),151,
Q7DFA3,Q7DFA3_THEMA,unreviewed,"Methyl-accepting chemotaxis protein, putative",TM_0014,Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),278,
B7FGU6,B7FGU6_MEDTR,unreviewed,"Histidine phosphotransfer protein (Putative signal transduction histidine kinase, phosphotransfer (Hpt) domain-containing protein)",11441941 MTR_2g020770 MtrunA17_Chr2g0286781,Medicago truncatula (Barrel medic) (Medicago tribuloides),153,
O35625,AXIN1_MOUSE,reviewed,Axin-1 (Axis inhibition protein 1) (Protein Fused),Axin1 Axin Fu,Mus musculus (Mouse),863,
Q6PFX9,TNKS1_MOUSE,reviewed,Poly [ADP-ribose] polymerase tankyrase-1 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (Protein poly-ADP-ribosyltransferase tankyrase-1) (EC 2.4.2.-) (TRF1-interacting ankyrin-related ADP-ribose polymerase 1) (Tankyrase I) (Tankyrase-1) (TANK1),Tnks Tnks1,Mus musculus (Mouse),1320,2.4.2.30; 2.4.2.-
Q08686,THTR_YEAST,reviewed,Thiosulfate sulfurtransferase TUM1 (EC 2.8.1.1) (Thiouridine modification protein 1),TUM1 YOR251C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),304,2.8.1.1
O14686,KMT2D_HUMAN,reviewed,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.354) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2),KMT2D ALR MLL2 MLL4,Homo sapiens (Human),5537,2.1.1.354
Q9UMN6,KMT2B_HUMAN,reviewed,Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.354) (Myeloid/lymphoid or mixed-lineage leukemia protein 4) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7),KMT2B HRX2 KIAA0304 MLL2 MLL4 TRX2 WBP7,Homo sapiens (Human),2715,2.1.1.354
Q9UPS6,SET1B_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD1B (EC 2.1.1.354) (Lysine N-methyltransferase 2G) (SET domain-containing protein 1B) (hSET1B),SETD1B KIAA1076 KMT2G SET1B,Homo sapiens (Human),1966,2.1.1.354
Q9HZN8,KTHY_PSEAE,reviewed,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),tmk PA2962,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),210,2.7.4.9
